"Código.IBGE.Município","Ano","Mês","UF","Município","Faixa.de.Velocidade","Velocidade","Tecnologia","Meio.de.Acesso","Tipo.de.Pessoa","Tipo.de.Produto","Acessos","Municipio","AreaTerritorialkm22022","Populacaoresidentepessoas2022","Densidadedemograficahabkm22022","Escolarizacao6a14anos2010","IDHM2010","PIBpercapita2021"
4102406,2024,8,"PR","Bandeirantes","> 34Mbps",600,"FTTH","Fibra","Pessoa Física","INTERNET",598,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,4,"PR","Bandeirantes","> 34Mbps",56,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,3,"PR","Bandeirantes","> 34Mbps",56,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,3,"PR","Bandeirantes","> 34Mbps",100,"FTTH","Fibra","Pessoa Jurídica","INTERNET",36,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,6,"PR","Bandeirantes","> 34Mbps",500,"Wi-Fi","Rádio","Pessoa Física","INTERNET",25,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,5,"PR","Bandeirantes","512kbps a 2Mbps",0.97656,"ADSL1","Cabo Metálico","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,7,"PR","Bandeirantes","512kbps a 2Mbps",0.512,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,2,"PR","Bandeirantes","> 34Mbps",100.00001,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,9,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,6,"PR","Bandeirantes","12Mbps a 34Mbps",20,"DWDM","Fibra","Pessoa Jurídica","M2M",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,7,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,4,"PR","Bandeirantes","> 34Mbps",263,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,3,"PR","Bandeirantes","> 34Mbps",360,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,9,"PR","Bandeirantes","12Mbps a 34Mbps",30.72,"FTTH","Fibra","Pessoa Jurídica","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,4,"PR","Bandeirantes","> 34Mbps",100,"FTTH","Fibra","Pessoa Física","INTERNET",511,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,3,"PR","Bandeirantes","2Mbps a 12Mbps",2.048,"ADSL1","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",5,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,4,"PR","Bandeirantes","> 34Mbps",80,"FTTH","Fibra","Pessoa Física","INTERNET",247,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,6,"PR","Bandeirantes","> 34Mbps",1050,"FTTH","Fibra","Pessoa Física","INTERNET",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2024,6,"PR","Bandeirantes","> 34Mbps",315,"FTTH","Fibra","Pessoa Jurídica","INTERNET",21,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
