Municipio;Código.IBGE.Município;AreaTerritorialkm22022;Populacaoresidentepessoas2022;Densidadedemograficahabkm22022;Escolarizacao6a14anos2010;IDHM2010;PIBpercapita2021
Bandeirantes;4102406;445,192;31273;70,25;97,8;0,727;33274,08
Cornélio Procópio;4106407;635,1;45206;71,18;98,7;0,759;37882,76
Jacarezinho;4111803;602,528;40375;67,01;98,1;0,743;40697,5
Santo Antônio da Platina;4124103;721,472;44369;61,5;96,2;0,718;32377,92
Curitiba;4106902;434,892;1773718;4078,53;97,6;0,823;49907,02
